Raffles Institution (Junior College), Singapore
Hwa Chong Institution (College Section), Singapore
Victoria Junior College, Singapore
National Junior College, Singapore
Anglo-Chinese Junior College, Singapore
Temasek Junior College, Singapore
Anderson Serangoon Junior College, Singapore
Eunoia Junior College, Singapore
Jurong Pioneer Junior College, Singapore
Nanyang Junior College, Singapore
Catholic Junior College, Singapore
Tampines Meridian Junior College, Singapore
Yishun Innova Junior College, Singapore
