Buddha Tooth Relic Temple and Museum, Chinatown, Singapore
Sri Mariamman Temple, Chinatown, Singapore
Chinatown Heritage Centre, Chinatown, Singapore
Maxwell Food Centre, Chinatown, Singapore
Chinatown Complex, Chinatown, Singapore
Sri Veeramakaliamman Temple, Little India, Singapore
Tekka Centre, Little India, Singapore
Mustafa Centre, Little India, Singapore
Indian Heritage Centre, Little India, Singapore
House of Tan Teng Niah, Little India, Singapore
Sultan Mosque, Kampong Glam, Singapore
Malay Heritage Centre, Kampong Glam, Singapore
Haji Lane, Kampong Glam, Singapore
Arab Street, Kampong Glam, Singapore
Bussorah Street, Kampong Glam, Singapore
