Jurong Lake Gardens, Jurong Lake District, Singapore
Chinese Garden, Jurong Lake District, Singapore
Science Centre Singapore, Jurong Lake District, Singapore
Westgate, Jurong Lake District, Singapore
JEM, Jurong Lake District, Singapore
Our Tampines Hub, Tampines, Singapore
Tampines Mall, Tampines, Singapore
Tampines One, Tampines, Singapore
Century Square, Tampines, Singapore
Tampines Regional Library, Tampines, Singapore
Causeway Point, Woodlands, Singapore
Woodlands Civic Centre, Woodlands, Singapore
Woodlands MRT Station, Woodlands, Singapore
Woods Square, Woodlands, Singapore
Woodlands Waterfront Park, Woodlands, Singapore
