Hougang Mall, Hougang, Singapore
Hougang MRT Station, Hougang, Singapore
Hougang Bus Interchange, Hougang, Singapore
Hougang Polyclinic, Hougang, Singapore
Punggol Park, Hougang, Singapore
Compass One, Sengkang, Singapore
Sengkang MRT Station, Sengkang, Singapore
Sengkang Bus Interchange, Sengkang, Singapore
Sengkang General Hospital, Sengkang, Singapore
Sengkang Riverside Park, Sengkang, Singapore
Junction 8, Bishan, Singapore
Bishan MRT Station, Bishan, Singapore
Bishan Bus Interchange, Bishan, Singapore
Bishan Public Library, Bishan, Singapore
Bishan-Ang Mo Kio Park, Bishan, Singapore
