AMK Hub, Ang Mo Kio, Singapore
Ang Mo Kio MRT Station, Ang Mo Kio, Singapore
Ang Mo Kio Town Garden West, Ang Mo Kio, Singapore
Jubilee Square, Ang Mo Kio, Singapore
Djitsun Mall, Ang Mo Kio, Singapore
HDB Hub, Toa Payoh, Singapore
Toa Payoh MRT Station, Toa Payoh, Singapore
Toa Payoh Bus Interchange, Toa Payoh, Singapore
Toa Payoh Town Park, Toa Payoh, Singapore
Lian Shan Shuang Lin Monastery, Toa Payoh, Singapore
The Clementi Mall, Clementi, Singapore
Clementi MRT Station, Clementi, Singapore
Clementi Sports Hall, Clementi, Singapore
321 Clementi, Clementi, Singapore
Grantral Mall @ Clementi, Clementi, Singapore
