Hillion Mall, Bukit Panjang, Singapore
Bukit Panjang Plaza, Bukit Panjang, Singapore
Bukit Panjang MRT Station, Bukit Panjang, Singapore
Bukit Panjang Bus Interchange, Bukit Panjang, Singapore
Zhenghua Nature Park, Bukit Panjang, Singapore
Bukit Timah Plaza, Bukit Timah, Singapore
Beauty World Centre, Bukit Timah, Singapore
Bukit Timah Nature Reserve, Bukit Timah, Singapore
The Rail Mall, Bukit Timah, Singapore
Singapore Botanic Gardens, Bukit Timah, Singapore
Our Tampines Hub, Tampines, Singapore
Tampines Mall, Tampines, Singapore
Tampines One, Tampines, Singapore
Century Square, Tampines, Singapore
Tampines Regional Library, Tampines, Singapore
