Marina Bay Sands, Marina Bay, Singapore
ArtScience Museum, Marina Bay, Singapore
The Shoppes at Marina Bay Sands, Marina Bay, Singapore
Gardens by the Bay, Marina Bay, Singapore
Helix Bridge, Marina Bay, Singapore
Buddha Tooth Relic Temple and Museum, Chinatown, Singapore
Sri Mariamman Temple, Chinatown, Singapore
Chinatown Heritage Centre, Chinatown, Singapore
Maxwell Food Centre, Chinatown, Singapore
Chinatown Complex, Chinatown, Singapore
Clarke Quay, Singapore River, Singapore
Clarke Quay Central, Singapore River, Singapore
Boat Quay, Singapore River, Singapore
Asian Civilisations Museum, Singapore River, Singapore
Victoria Theatre and Concert Hall, Singapore River, Singapore
