Galaxis, one-north, Singapore
Fusionopolis One, one-north, Singapore
Fusionopolis Two, one-north, Singapore
Sandcrawler, one-north, Singapore
JTC LaunchPad @ one-north, Singapore
Paya Lebar Quarter, Paya Lebar, Singapore
PLQ Mall, Paya Lebar, Singapore
Paya Lebar Square, Paya Lebar, Singapore
SingPost Centre, Paya Lebar, Singapore
Lifelong Learning Institute, Paya Lebar, Singapore
AMK Hub, Ang Mo Kio, Singapore
Ang Mo Kio MRT Station, Ang Mo Kio, Singapore
Ang Mo Kio Town Garden West, Ang Mo Kio, Singapore
Jubilee Square, Ang Mo Kio, Singapore
Djitsun Mall, Ang Mo Kio, Singapore
