Universal Studios Singapore, Sentosa, Singapore
S.E.A. Aquarium, Sentosa, Singapore
Adventure Cove Waterpark, Sentosa, Singapore
Palawan Beach, Sentosa, Singapore
Sentosa Golf Club, Sentosa, Singapore
Causeway Point, Woodlands, Singapore
Woodlands Civic Centre, Woodlands, Singapore
Woodlands MRT Station, Woodlands, Singapore
Woods Square, Woodlands, Singapore
Woodlands Waterfront Park, Woodlands, Singapore
Bukit Timah Plaza, Bukit Timah, Singapore
Beauty World Centre, Bukit Timah, Singapore
Bukit Timah Nature Reserve, Bukit Timah, Singapore
The Rail Mall, Bukit Timah, Singapore
Singapore Botanic Gardens, Bukit Timah, Singapore
