Holland Village MRT Station, Singapore
Holland Road Shopping Centre, Singapore
Holland Village Market & Food Centre, Singapore
Raffles Holland V, Singapore
Holland Piazza, Singapore
Chip Bee Gardens, Singapore
Lorong Mambong, Singapore
Lorong Liput, Singapore
Holland Drive Market & Food Centre, Singapore
Buona Vista MRT Station, Singapore
The Star Vista, Singapore
The Star Performing Arts Centre, Singapore
Rochester Mall, Singapore
Fairfield Methodist Secondary School, Singapore
Holland Village Park, Singapore
