NEX, Singapore
Serangoon MRT Station, Singapore
Serangoon Bus Interchange, Singapore
Serangoon Public Library, Singapore
Serangoon Stadium, Singapore
Serangoon ActiveSG Swimming Complex, Singapore
Serangoon Community Park, Singapore
Lorong Chuan MRT Station, Singapore
Chomp Chomp Food Centre, Singapore
Serangoon Gardens Country Club, Singapore
myVillage at Serangoon Garden, Singapore
Serangoon Garden Market & Food Centre, Singapore
Rosyth School, Singapore
Peicai Secondary School, Singapore
Upper Serangoon Shopping Centre, Singapore
