IKEA Alexandra, Singapore
Anchorpoint Shopping Centre, Singapore
Queensway Shopping Centre, Singapore
Alexandra Central Mall, Singapore
Alexandra Hospital, Singapore
Queenstown Public Library, Singapore
Queenstown Swimming Complex, Singapore
Queenstown Stadium, Singapore
Queenstown MRT Station, Singapore
ABC Brickworks Market & Food Centre, Singapore
Dawson Place, Singapore
The Anchorage, Singapore
Alexandra Technopark, Singapore
Mei Ling Market & Food Centre, Singapore
SkyVille @ Dawson, Singapore
