Jurong Point, Singapore
Boon Lay MRT Station, Singapore
Boon Lay Bus Interchange, Singapore
Boon Lay Shopping Centre, Singapore
Jurong West Sports Centre, Singapore
Jurong West Swimming Complex, Singapore
Frontier Community Club, Singapore
River Valley High School, Singapore
Jurong Medical Centre, Singapore
Jurong West Community Building, Singapore
SAFRA Jurong, Singapore
Jurong West Public Library, Singapore
Jurong Central Park, Singapore
Jurong West Hawker Centre, Singapore
Boon Lay Place Market & Food Village, Singapore
