West Mall, Singapore
Bukit Batok MRT Station, Singapore
Bukit Batok Bus Interchange, Singapore
Bukit Batok Community Club, Singapore
Bukit Batok Swimming Complex, Singapore
Bukit Batok Sports Hall, Singapore
Bukit Batok Nature Park, Singapore
Bukit Batok Public Library, Singapore
Le Quest Mall, Singapore
HillV2, Singapore
Bukit Batok Town Park, Singapore
Bukit Batok Polyclinic, Singapore
Bukit Batok Hillside Park, Singapore
Bukit View Secondary School, Singapore
Princess Elizabeth Primary School, Singapore
